filename,y_truth,y_pred
IMG_5794_10.JPG,10,8
IMG_5798_10.JPG,10,6
IMG_5785_40.JPG,40,34
IMG_5789_40.JPG,40,31
IMG_5842_99.JPG,99,74
IMG_5803_10.JPG,10,7
IMG_5806_21.JPG,21,18
IMG_5831_60.JPG,60,54
IMG_5801_10.JPG,10,8
IMG_5824_50.JPG,50,31
IMG_5808_21.JPG,21,20
IMG_5833_60.JPG,60,55
IMG_5804_21.JPG,21,16
IMG_5796_10.JPG,10,8
IMG_5845_100.JPG,100,80
IMG_5829_60.JPG,60,57
IMG_5812_21.JPG,21,20
IMG_5816_50.JPG,50,45
IMG_5791_42.JPG,42,38
IMG_5844_99.JPG,99,76
IMG_5839_98.JPG,98,76
IMG_5790_39.JPG,39,37
IMG_5793_40.JPG,40,35
IMG_5846_98.JPG,98,89
IMG_5835_60.JPG,60,51
IMG_5822_50.JPG,50,36
IMG_5810_21.JPG,21,20
IMG_5827_60.JPG,60,52
IMG_5818_50.JPG,50,42
IMG_5814_50.JPG,50,30
IMG_5807_21.JPG,21,19
IMG_5838_100.JPG,100,83
IMG_5802_10.JPG,10,10
IMG_5843_102.JPG,102,76
IMG_5784_40.JPG,40,30
IMG_5787_39.JPG,39,35
IMG_5788_40.JPG,40,26
IMG_5795_10.JPG,10,10
IMG_5799_10.JPG,10,10
IMG_5786_40.JPG,40,37
IMG_5837_91.JPG,91,77
IMG_5797_10.JPG,10,9
IMG_5832_60.JPG,60,47
IMG_5809_21.JPG,21,19
IMG_5825_50.JPG,50,41
IMG_5830_59.JPG,59,52
IMG_5805_21.JPG,21,17
IMG_5820_49.JPG,49,39
IMG_5800_10.JPG,10,10
IMG_5840_100.JPG,100,88
IMG_5836_60.JPG,60,50
IMG_5841_113.JPG,113,74
IMG_5813_21.JPG,21,19
IMG_5821_50.JPG,50,36
IMG_5828_60.JPG,60,52
IMG_5826_61.JPG,61,44
IMG_5815_50.JPG,50,45
IMG_5811_21.JPG,21,17
IMG_5823_50.JPG,50,32
IMG_5834_60.JPG,60,51
IMG_5792_40.JPG,40,34
